池州市贵池区,福泰动力有限公司,叉车工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,4K-6K
池州市,太平财产保险有限公司池州中心支公司,银保渠道营业部负责人,本科 / 经验2年以上 / 性别不限 / 25～35岁,招聘1人,薪资面议
池州市,太平财产保险有限公司池州中心支公司,团队渠道营业部负责人,本科 / 经验2年以上 / 性别不限 / 25～35岁,招聘1人,薪资面议
池州市,太平财产保险有限公司池州中心支公司,渠道经理,大专 / 经验1年以上 / 性别不限 / 20～35岁,招聘若干人,薪资面议
池州市贵池区,安徽艾露恩生物科技有限公司,办公室主任,大专 / 经验不限 / 性别女 / 21～28岁,招聘1人,薪资面议
池州市,池州德特机电设备有限公司,驾驶员,初中 / 经验3年以上 / 性别不限 / 25～50岁,招聘3人,薪资面议
池州市贵池区,池州德特机电设备有限公司,加工中心操作员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,面议
池州市贵池区,福泰动力有限公司,焊工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-4K
池州市,池州德特机电设备有限公司,车工,学历不限 / 经验不限 / 性别不限 / 20～45岁,招聘若干人,4K-5K
池州市贵池区,池州市城市房地产发展有限公司,池州锦江之星招贤纳士,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
"池州市,池州市贵池区",池州市城市房地产发展有限公司,锦江之星营销经理,中专 / 经验3年以上 / 性别不限 / 26～40岁,招聘1人,面议
池州市,池州德特机电设备有限公司,焊工,初中 / 经验2年以上 / 性别不限 / 20～50岁,招聘5人,5K-6K
池州市,尚好大药房连锁有限公司,市场销售推广,中专 / 经验4年以上 / 性别不限 / 28～45岁,招聘若干人,4K-5K
池州市,福泰动力有限公司,财务管理,本科 / 经验5年以上 / 性别不限 / 年龄不限,招聘1人,面议
